id,Network,score,initial_state
Random Noise,0,0.028,constant
Random Noise,1,0.029444444,constant
Random Noise,2,0.035222222,constant
Random Noise,3,0.028444444,constant
Random Noise,4,0.044444444,constant
Random Noise,5,0.052777778,constant
Random Noise,6,0.046222222,constant
Random Noise,7,0.021111111,constant
Random Noise,8,0.028555556,constant
Random Noise,9,0.027666667,constant
Random Noise,0,0.037666667,constant
Random Noise,1,0.025111111,constant
Random Noise,2,0.022333333,constant
Random Noise,3,0.034111111,constant
Random Noise,4,0.033666667,constant
Random Noise,5,0.034222222,constant
Random Noise,6,0.017222222,constant
Random Noise,7,0.026888889,constant
Random Noise,8,0.036777778,constant
Random Noise,9,0.032555556,constant
Random Noise,0,0.046222222,constant
Random Noise,1,0.040666667,constant
Random Noise,2,0.033444444,constant
Random Noise,3,0.029888889,constant
Random Noise,4,0.034333333,constant
Random Noise,5,0.031666667,constant
Random Noise,6,0.039111111,constant
Random Noise,7,0.037444444,constant
Random Noise,8,0.039666667,constant
Random Noise,9,0.041444444,constant
Random Noise,0,0.032222222,constant
Random Noise,1,0.030333333,constant
Random Noise,2,0.024,constant
Random Noise,3,0.024111111,constant
Random Noise,4,0.017888889,constant
Random Noise,5,0.042555556,constant
Random Noise,6,0.047333333,constant
Random Noise,7,0.032888889,constant
Random Noise,8,0.037888889,constant
Random Noise,9,0.033444444,constant
Random Noise,0,0.021444444,constant
Random Noise,1,0.027222222,constant
Random Noise,2,0.017222222,constant
Random Noise,3,0.017666667,constant
Random Noise,4,0.039444444,constant
Random Noise,5,0.033666667,constant
Random Noise,6,0.034222222,constant
Random Noise,7,0.051555556,constant
Random Noise,8,0.025222222,constant
Random Noise,9,0.035333333,constant
Random Noise,0,0.032555556,constant
Random Noise,1,0.026888889,constant
Random Noise,2,0.035888889,constant
Random Noise,3,0.026333333,constant
Random Noise,4,0.035666667,constant
Random Noise,5,0.044444444,constant
Random Noise,6,0.028,constant
Random Noise,7,0.036111111,constant
Random Noise,8,0.042888889,constant
Random Noise,9,0.032888889,constant
Random Noise,0,0.023,constant
Random Noise,1,0.043333333,constant
Random Noise,2,0.025555556,constant
Random Noise,3,0.017333333,constant
Random Noise,4,0.025111111,constant
Random Noise,5,0.018444444,constant
Random Noise,6,0.022555556,constant
Random Noise,7,0.043555556,constant
Random Noise,8,0.018,constant
Random Noise,9,0.019222222,constant
Random Noise,0,0.034444444,constant
Random Noise,1,0.032222222,constant
Random Noise,2,0.030666667,constant
Random Noise,3,0.033666667,constant
Random Noise,4,0.043555556,constant
Random Noise,5,0.040333333,constant
Random Noise,6,0.017111111,constant
Random Noise,7,0.043333333,constant
Random Noise,8,0.029888889,constant
Random Noise,9,0.040777778,constant
Random Noise,0,0.020222222,constant
Random Noise,1,0.036444444,constant
Random Noise,2,0.029222222,constant
Random Noise,3,0.027555556,constant
Random Noise,4,0.036777778,constant
Random Noise,5,0.035666667,constant
Random Noise,6,0.038777778,constant
Random Noise,7,0.027333333,constant
Random Noise,8,0.036111111,constant
Random Noise,9,0.030222222,constant
Random Noise,0,0.045,constant
Random Noise,1,0.035222222,constant
Random Noise,2,0.030333333,constant
Random Noise,3,0.039333333,constant
Random Noise,4,0.017222222,constant
Random Noise,5,0.027111111,constant
Random Noise,6,0.038555556,constant
Random Noise,7,0.029666667,constant
Random Noise,8,0.032,constant
Random Noise,9,0.021555556,constant
Extinction,0,0.999444444,constant
Extinction,1,0.838666667,constant
Extinction,2,1.333333333,constant
Extinction,3,0.675333333,constant
Extinction,4,1.206333333,constant
Extinction,5,0.700111111,constant
Extinction,6,0.94,constant
Extinction,7,0.984444444,constant
Extinction,8,1.056888889,constant
Extinction,9,0.873555556,constant
Extinction,0,1.013444444,constant
Extinction,1,0.839333333,constant
Extinction,2,1.333333333,constant
Extinction,3,0.661333333,constant
Extinction,4,1.187333333,constant
Extinction,5,0.704444444,constant
Extinction,6,0.962666667,constant
Extinction,7,0.977777778,constant
Extinction,8,1.062222222,constant
Extinction,9,0.870555556,constant
Extinction,0,1.016777778,constant
Extinction,1,0.846,constant
Extinction,2,1.333333333,constant
Extinction,3,0.702333333,constant
Extinction,4,1.187,constant
Extinction,5,0.717777778,constant
Extinction,6,0.949666667,constant
Extinction,7,0.980111111,constant
Extinction,8,1.060888889,constant
Extinction,9,0.871555556,constant
Extinction,0,1.010777778,constant
Extinction,1,0.834888889,constant
Extinction,2,1.333333333,constant
Extinction,3,0.694666667,constant
Extinction,4,1.174,constant
Extinction,5,0.711777778,constant
Extinction,6,0.945,constant
Extinction,7,0.980444444,constant
Extinction,8,1.062555556,constant
Extinction,9,0.865888889,constant
Extinction,0,1.008111111,constant
Extinction,1,0.84,constant
Extinction,2,1.333333333,constant
Extinction,3,0.699,constant
Extinction,4,1.178666667,constant
Extinction,5,0.712444444,constant
Extinction,6,0.931333333,constant
Extinction,7,0.975444444,constant
Extinction,8,1.064888889,constant
Extinction,9,0.868888889,constant
Extinction,0,1.013777778,constant
Extinction,1,0.840333333,constant
Extinction,2,1.333333333,constant
Extinction,3,0.690333333,constant
Extinction,4,1.192333333,constant
Extinction,5,0.707777778,constant
Extinction,6,0.934666667,constant
Extinction,7,0.974777778,constant
Extinction,8,1.063888889,constant
Extinction,9,0.870888889,constant
Extinction,0,1.008444444,constant
Extinction,1,0.830666667,constant
Extinction,2,1.333333333,constant
Extinction,3,0.685333333,constant
Extinction,4,1.157333333,constant
Extinction,5,0.710777778,constant
Extinction,6,0.935666667,constant
Extinction,7,0.978777778,constant
Extinction,8,1.057555556,constant
Extinction,9,0.868222222,constant
Extinction,0,1.012111111,constant
Extinction,1,0.840333333,constant
Extinction,2,1.333333333,constant
Extinction,3,0.669666667,constant
Extinction,4,1.174,constant
Extinction,5,0.698777778,constant
Extinction,6,0.951666667,constant
Extinction,7,0.981111111,constant
Extinction,8,1.063555556,constant
Extinction,9,0.874222222,constant
Extinction,0,1.013777778,constant
Extinction,1,0.841333333,constant
Extinction,2,1.333333333,constant
Extinction,3,0.692,constant
Extinction,4,1.162,constant
Extinction,5,0.715111111,constant
Extinction,6,0.929666667,constant
Extinction,7,0.983777778,constant
Extinction,8,1.067888889,constant
Extinction,9,0.870222222,constant
Extinction,0,1.018111111,constant
Extinction,1,0.834,constant
Extinction,2,1.333333333,constant
Extinction,3,0.684333333,constant
Extinction,4,1.176666667,constant
Extinction,5,0.723111111,constant
Extinction,6,0.929333333,constant
Extinction,7,0.977111111,constant
Extinction,8,1.064888889,constant
Extinction,9,0.867888889,constant
No Extinction,0,1.013,constant
No Extinction,1,0.985111111,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.616222222,constant
No Extinction,4,1.007111111,constant
No Extinction,5,0.633444444,constant
No Extinction,6,0.954333333,constant
No Extinction,7,0.788888889,constant
No Extinction,8,1.328,constant
No Extinction,9,0.993111111,constant
No Extinction,0,1.020666667,constant
No Extinction,1,0.986444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.623222222,constant
No Extinction,4,0.988777778,constant
No Extinction,5,0.641444444,constant
No Extinction,6,0.940666667,constant
No Extinction,7,0.784222222,constant
No Extinction,8,1.325333333,constant
No Extinction,9,0.983777778,constant
No Extinction,0,1.007,constant
No Extinction,1,0.996777778,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.631888889,constant
No Extinction,4,0.998777778,constant
No Extinction,5,0.640777778,constant
No Extinction,6,0.956,constant
No Extinction,7,0.782888889,constant
No Extinction,8,1.333333333,constant
No Extinction,9,0.976444444,constant
No Extinction,0,1.006,constant
No Extinction,1,0.977444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.629555556,constant
No Extinction,4,0.993444444,constant
No Extinction,5,0.652777778,constant
No Extinction,6,0.947333333,constant
No Extinction,7,0.783222222,constant
No Extinction,8,1.330666667,constant
No Extinction,9,0.974777778,constant
No Extinction,0,1.008,constant
No Extinction,1,0.981444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.631222222,constant
No Extinction,4,0.999111111,constant
No Extinction,5,0.643111111,constant
No Extinction,6,0.962,constant
No Extinction,7,0.780222222,constant
No Extinction,8,1.333333333,constant
No Extinction,9,0.991777778,constant
No Extinction,0,1.02,constant
No Extinction,1,0.999444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.627888889,constant
No Extinction,4,0.990777778,constant
No Extinction,5,0.639666667,constant
No Extinction,6,0.958,constant
No Extinction,7,0.780555556,constant
No Extinction,8,1.330666667,constant
No Extinction,9,0.993111111,constant
No Extinction,0,0.995666667,constant
No Extinction,1,0.988444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.629555556,constant
No Extinction,4,0.987777778,constant
No Extinction,5,0.645777778,constant
No Extinction,6,0.965333333,constant
No Extinction,7,0.781888889,constant
No Extinction,8,1.330666667,constant
No Extinction,9,0.978444444,constant
No Extinction,0,1.007666667,constant
No Extinction,1,0.986111111,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.628555556,constant
No Extinction,4,0.981777778,constant
No Extinction,5,0.641777778,constant
No Extinction,6,0.945,constant
No Extinction,7,0.785888889,constant
No Extinction,8,1.325333333,constant
No Extinction,9,0.988444444,constant
No Extinction,0,1.001,constant
No Extinction,1,1.001444444,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.625555556,constant
No Extinction,4,0.980111111,constant
No Extinction,5,0.658111111,constant
No Extinction,6,0.957333333,constant
No Extinction,7,0.782555556,constant
No Extinction,8,1.328,constant
No Extinction,9,0.979777778,constant
No Extinction,0,1.01,constant
No Extinction,1,0.994111111,constant
No Extinction,2,1.333333333,constant
No Extinction,3,0.628888889,constant
No Extinction,4,0.987444444,constant
No Extinction,5,0.636444444,constant
No Extinction,6,0.950333333,constant
No Extinction,7,0.780888889,constant
No Extinction,8,1.322666667,constant
No Extinction,9,0.982111111,constant
Random Noise,0,0.029888889,random
Random Noise,1,0.028888889,random
Random Noise,2,0.033111111,random
Random Noise,3,0.041,random
Random Noise,4,0.030444444,random
Random Noise,5,0.031444444,random
Random Noise,6,0.033777778,random
Random Noise,7,0.018222222,random
Random Noise,8,0.029222222,random
Random Noise,9,0.034888889,random
Random Noise,0,0.035444444,random
Random Noise,1,0.049222222,random
Random Noise,2,0.030222222,random
Random Noise,3,0.033888889,random
Random Noise,4,0.038777778,random
Random Noise,5,0.034,random
Random Noise,6,0.014333333,random
Random Noise,7,0.046333333,random
Random Noise,8,0.041555556,random
Random Noise,9,0.036111111,random
Random Noise,0,0.028444444,random
Random Noise,1,0.035333333,random
Random Noise,2,0.043222222,random
Random Noise,3,0.036111111,random
Random Noise,4,0.032888889,random
Random Noise,5,0.024,random
Random Noise,6,0.025444444,random
Random Noise,7,0.027444444,random
Random Noise,8,0.031888889,random
Random Noise,9,0.032444444,random
Random Noise,0,0.025777778,random
Random Noise,1,0.017444444,random
Random Noise,2,0.034888889,random
Random Noise,3,0.042555556,random
Random Noise,4,0.024888889,random
Random Noise,5,0.022,random
Random Noise,6,0.025666667,random
Random Noise,7,0.045222222,random
Random Noise,8,0.034888889,random
Random Noise,9,0.030444444,random
Random Noise,0,0.031666667,random
Random Noise,1,0.024333333,random
Random Noise,2,0.033555556,random
Random Noise,3,0.043111111,random
Random Noise,4,0.031222222,random
Random Noise,5,0.033666667,random
Random Noise,6,0.032333333,random
Random Noise,7,0.026555556,random
Random Noise,8,0.025444444,random
Random Noise,9,0.041333333,random
Random Noise,0,0.027333333,random
Random Noise,1,0.045888889,random
Random Noise,2,0.024111111,random
Random Noise,3,0.029444444,random
Random Noise,4,0.033888889,random
Random Noise,5,0.037333333,random
Random Noise,6,0.034333333,random
Random Noise,7,0.029111111,random
Random Noise,8,0.029111111,random
Random Noise,9,0.038666667,random
Random Noise,0,0.024111111,random
Random Noise,1,0.033777778,random
Random Noise,2,0.040555556,random
Random Noise,3,0.027888889,random
Random Noise,4,0.023222222,random
Random Noise,5,0.024777778,random
Random Noise,6,0.046,random
Random Noise,7,0.021888889,random
Random Noise,8,0.019888889,random
Random Noise,9,0.023,random
Random Noise,0,0.040444444,random
Random Noise,1,0.030888889,random
Random Noise,2,0.029222222,random
Random Noise,3,0.022444444,random
Random Noise,4,0.040888889,random
Random Noise,5,0.030555556,random
Random Noise,6,0.030777778,random
Random Noise,7,0.040333333,random
Random Noise,8,0.027333333,random
Random Noise,9,0.019666667,random
Random Noise,0,0.031888889,random
Random Noise,1,0.042222222,random
Random Noise,2,0.045,random
Random Noise,3,0.027888889,random
Random Noise,4,0.042777778,random
Random Noise,5,0.027333333,random
Random Noise,6,0.022888889,random
Random Noise,7,0.023666667,random
Random Noise,8,0.024222222,random
Random Noise,9,0.026,random
Random Noise,0,0.044888889,random
Random Noise,1,0.03,random
Random Noise,2,0.044444444,random
Random Noise,3,0.026,random
Random Noise,4,0.021666667,random
Random Noise,5,0.021222222,random
Random Noise,6,0.028444444,random
Random Noise,7,0.041888889,random
Random Noise,8,0.030555556,random
Random Noise,9,0.032888889,random
Extinction,0,0.468222222,random
Extinction,1,0.250111111,random
Extinction,2,0.252555556,random
Extinction,3,0.287666667,random
Extinction,4,0.430666667,random
Extinction,5,0.388444444,random
Extinction,6,0.324222222,random
Extinction,7,0.430555556,random
Extinction,8,0.320222222,random
Extinction,9,0.179111111,random
Extinction,0,0.452888889,random
Extinction,1,0.268111111,random
Extinction,2,0.237555556,random
Extinction,3,0.301333333,random
Extinction,4,0.431,random
Extinction,5,0.4,random
Extinction,6,0.358888889,random
Extinction,7,0.432555556,random
Extinction,8,0.342555556,random
Extinction,9,0.187222222,random
Extinction,0,0.469,random
Extinction,1,0.277555556,random
Extinction,2,0.256222222,random
Extinction,3,0.293666667,random
Extinction,4,0.419,random
Extinction,5,0.362444444,random
Extinction,6,0.346444444,random
Extinction,7,0.391555556,random
Extinction,8,0.324222222,random
Extinction,9,0.215777778,random
Extinction,0,0.471666667,random
Extinction,1,0.270555556,random
Extinction,2,0.252888889,random
Extinction,3,0.304333333,random
Extinction,4,0.434777778,random
Extinction,5,0.381111111,random
Extinction,6,0.353777778,random
Extinction,7,0.430888889,random
Extinction,8,0.324555556,random
Extinction,9,0.196777778,random
Extinction,0,0.472111111,random
Extinction,1,0.268444444,random
Extinction,2,0.239555556,random
Extinction,3,0.287888889,random
Extinction,4,0.421,random
Extinction,5,0.367444444,random
Extinction,6,0.347111111,random
Extinction,7,0.434555556,random
Extinction,8,0.344555556,random
Extinction,9,0.208444444,random
Extinction,0,0.462666667,random
Extinction,1,0.267333333,random
Extinction,2,0.242111111,random
Extinction,3,0.293777778,random
Extinction,4,0.445111111,random
Extinction,5,0.378111111,random
Extinction,6,0.352111111,random
Extinction,7,0.444888889,random
Extinction,8,0.310222222,random
Extinction,9,0.201888889,random
Extinction,0,0.471666667,random
Extinction,1,0.269222222,random
Extinction,2,0.255888889,random
Extinction,3,0.300333333,random
Extinction,4,0.449666667,random
Extinction,5,0.402,random
Extinction,6,0.347666667,random
Extinction,7,0.432555556,random
Extinction,8,0.337888889,random
Extinction,9,0.181555556,random
Extinction,0,0.467777778,random
Extinction,1,0.277333333,random
Extinction,2,0.238777778,random
Extinction,3,0.314,random
Extinction,4,0.410333333,random
Extinction,5,0.393666667,random
Extinction,6,0.356111111,random
Extinction,7,0.441555556,random
Extinction,8,0.320888889,random
Extinction,9,0.192555556,random
Extinction,0,0.456333333,random
Extinction,1,0.276777778,random
Extinction,2,0.273444444,random
Extinction,3,0.288333333,random
Extinction,4,0.419888889,random
Extinction,5,0.394777778,random
Extinction,6,0.328777778,random
Extinction,7,0.461888889,random
Extinction,8,0.324222222,random
Extinction,9,0.203333333,random
Extinction,0,0.467666667,random
Extinction,1,0.275222222,random
Extinction,2,0.253222222,random
Extinction,3,0.288777778,random
Extinction,4,0.419666667,random
Extinction,5,0.389666667,random
Extinction,6,0.352222222,random
Extinction,7,0.444555556,random
Extinction,8,0.321222222,random
Extinction,9,0.207111111,random
No Extinction,0,0.459888889,random
No Extinction,1,0.297666667,random
No Extinction,2,0.226777778,random
No Extinction,3,0.302222222,random
No Extinction,4,0.438777778,random
No Extinction,5,0.402666667,random
No Extinction,6,0.290222222,random
No Extinction,7,0.487,random
No Extinction,8,0.293888889,random
No Extinction,9,0.208777778,random
No Extinction,0,0.449333333,random
No Extinction,1,0.320777778,random
No Extinction,2,0.258111111,random
No Extinction,3,0.288444444,random
No Extinction,4,0.474666667,random
No Extinction,5,0.405666667,random
No Extinction,6,0.290666667,random
No Extinction,7,0.470666667,random
No Extinction,8,0.318444444,random
No Extinction,9,0.207888889,random
No Extinction,0,0.466555556,random
No Extinction,1,0.296555556,random
No Extinction,2,0.262111111,random
No Extinction,3,0.308555556,random
No Extinction,4,0.440777778,random
No Extinction,5,0.390111111,random
No Extinction,6,0.303666667,random
No Extinction,7,0.468,random
No Extinction,8,0.294888889,random
No Extinction,9,0.217333333,random
No Extinction,0,0.464444444,random
No Extinction,1,0.324333333,random
No Extinction,2,0.250111111,random
No Extinction,3,0.293333333,random
No Extinction,4,0.444777778,random
No Extinction,5,0.401333333,random
No Extinction,6,0.288333333,random
No Extinction,7,0.474444444,random
No Extinction,8,0.307444444,random
No Extinction,9,0.219222222,random
No Extinction,0,0.444888889,random
No Extinction,1,0.324,random
No Extinction,2,0.260444444,random
No Extinction,3,0.302,random
No Extinction,4,0.424111111,random
No Extinction,5,0.404333333,random
No Extinction,6,0.300666667,random
No Extinction,7,0.455666667,random
No Extinction,8,0.309222222,random
No Extinction,9,0.226222222,random
No Extinction,0,0.443555556,random
No Extinction,1,0.282666667,random
No Extinction,2,0.263777778,random
No Extinction,3,0.296222222,random
No Extinction,4,0.444777778,random
No Extinction,5,0.400111111,random
No Extinction,6,0.304888889,random
No Extinction,7,0.477222222,random
No Extinction,8,0.285555556,random
No Extinction,9,0.207444444,random
No Extinction,0,0.458888889,random
No Extinction,1,0.310333333,random
No Extinction,2,0.254444444,random
No Extinction,3,0.307666667,random
No Extinction,4,0.45,random
No Extinction,5,0.375666667,random
No Extinction,6,0.292222222,random
No Extinction,7,0.459111111,random
No Extinction,8,0.315222222,random
No Extinction,9,0.215555556,random
No Extinction,0,0.449888889,random
No Extinction,1,0.308,random
No Extinction,2,0.271444444,random
No Extinction,3,0.291333333,random
No Extinction,4,0.445666667,random
No Extinction,5,0.398,random
No Extinction,6,0.292333333,random
No Extinction,7,0.466777778,random
No Extinction,8,0.288555556,random
No Extinction,9,0.216222222,random
No Extinction,0,0.455888889,random
No Extinction,1,0.297222222,random
No Extinction,2,0.256777778,random
No Extinction,3,0.263888889,random
No Extinction,4,0.445777778,random
No Extinction,5,0.391555556,random
No Extinction,6,0.282111111,random
No Extinction,7,0.481,random
No Extinction,8,0.313666667,random
No Extinction,9,0.212222222,random
No Extinction,0,0.450222222,random
No Extinction,1,0.316333333,random
No Extinction,2,0.232444444,random
No Extinction,3,0.272666667,random
No Extinction,4,0.433444444,random
No Extinction,5,0.394,random
No Extinction,6,0.312222222,random
No Extinction,7,0.456,random
No Extinction,8,0.311,random
No Extinction,9,0.226,random
